                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9645,                  4.188,                 1.4681,                0.16976,                0.43169,                0.18638,                0.08243,                 1.6393,                 3.6992,                 1.2999,             0.00019097,             0.00019097,             0.00019097
                      2,                 1.5569,                 2.1367,                 1.2425,                0.33908,                0.44795,                0.34155,                0.16873,                 1.6316,                  3.176,                 1.4726,             0.00038314,             0.00038314,             0.00038314
                      3,                  1.502,                 1.6378,                 1.2711,                0.36872,                 0.4201,                0.44625,                0.22798,                 1.6292,                  5.483,                 1.5647,             0.00057143,             0.00057143,             0.00057143
                      4,                 1.4581,                 1.4178,                 1.2544,                0.42135,                0.46466,                0.46653,                0.25763,                 1.6274,                  2.342,                 1.5351,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.4384,                 1.2017,                 1.2437,                0.40552,                0.48705,                0.43065,                0.22115,                 1.5952,                  2.411,                 1.5637,             0.00056472,             0.00056472,             0.00056472
                      6,                   1.41,                 1.0887,                 1.2434,                0.57693,                0.57793,                 0.5593,                0.29016,                 1.6102,                  1.909,                 1.5877,             0.00055889,             0.00055889,             0.00055889
                      7,                 1.3942,                 1.0695,                 1.2398,                0.63666,                0.56197,                0.64025,                0.34438,                 1.6602,                 1.5615,                 1.6192,             0.00055307,             0.00055307,             0.00055307
                      8,                 1.3265,                0.92201,                 1.2009,                0.58052,                0.60572,                0.62961,                0.33321,                 1.6225,                 1.5483,                  1.575,             0.00054725,             0.00054725,             0.00054725
                      9,                 1.2927,                0.85813,                 1.1637,                0.62998,                0.61502,                0.70042,                0.39682,                 1.5835,                 1.5696,                 1.5736,             0.00054143,             0.00054143,             0.00054143
                     10,                 1.2446,                0.82792,                 1.1438,                0.60452,                0.67412,                0.71036,                0.39538,                 1.6024,                 1.6518,                 1.5843,             0.00053561,             0.00053561,             0.00053561
