                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5805,                  5.992,                 1.1935,                0.14461,                0.30698,                0.09172,                0.06893,                 1.0145,                  3.517,                0.95849,             0.00019192,             0.00019192,             0.00019192
                      2,                  1.106,                 2.8528,                 0.9793,                0.11571,                0.46129,                0.23595,                0.17016,                0.90828,                 3.9938,                0.96021,             0.00038408,             0.00038408,             0.00038408
                      3,                 1.0836,                 2.2695,                0.99211,                0.24609,                0.58752,                0.30765,                0.22335,                0.90482,                 2.1367,                0.95953,             0.00057236,             0.00057236,             0.00057236
                      4,                 1.0654,                 2.1721,                0.99554,                0.39924,                0.42701,                 0.3847,                  0.269,                 1.0015,                 22.632,                0.98927,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.0171,                 1.8661,                0.97084,                0.37823,                0.60506,                0.49886,                0.36676,                0.97365,                 1.6928,                0.96335,             0.00056472,             0.00056472,             0.00056472
                      6,                 1.0029,                 1.7446,                0.98074,                0.50444,                0.31941,                0.30925,                 0.2271,                 1.1163,                 2.3008,                 1.0771,             0.00055889,             0.00055889,             0.00055889
                      7,                 0.9783,                 1.5838,                 0.9777,                0.48682,                0.57807,                0.56161,                0.43507,                0.83282,                 1.5075,                0.92222,             0.00055307,             0.00055307,             0.00055307
                      8,                0.98425,                 1.4885,                0.94546,                  0.491,                0.68692,                0.65105,                0.49074,                0.88083,                  1.295,                0.94295,             0.00054725,             0.00054725,             0.00054725
                      9,                0.95264,                 1.3311,                0.95592,                0.59596,                 0.6901,                0.67694,                0.52973,                0.80546,                 1.2647,                0.92587,             0.00054143,             0.00054143,             0.00054143
                     10,                0.95819,                 1.3316,                0.95815,                0.61639,                0.73345,                0.69549,                0.52576,                   0.89,                 1.1958,                0.93741,             0.00053561,             0.00053561,             0.00053561
                     11,                0.94033,                 1.1983,                0.95462,                0.64356,                0.86007,                0.79458,                0.62094,                0.75402,                 1.0284,                0.90163,             0.00052979,             0.00052979,             0.00052979
                     12,                0.89698,                 1.1358,                0.94691,                0.70118,                0.76581,                0.77848,                0.61297,                0.76569,                0.99802,                0.90385,             0.00052397,             0.00052397,             0.00052397
                     13,                0.88805,                 1.1198,                0.93129,                0.61541,                0.81024,                0.79364,                0.61234,                0.83606,                0.99207,                0.92151,             0.00051815,             0.00051815,             0.00051815
                     14,                0.87506,                 1.0574,                0.92735,                 0.6673,                 0.8363,                0.77939,                 0.6169,                0.78194,                0.95718,                0.91958,             0.00051232,             0.00051232,             0.00051232
                     15,                 0.8486,                 1.0628,                0.93152,                0.58426,                0.83689,                0.75687,                0.59873,                0.76593,                 0.9561,                0.91474,              0.0005065,              0.0005065,              0.0005065
                     16,                0.85141,                0.96775,                0.92586,                0.79448,                 0.7718,                0.83195,                0.63245,                 0.8378,                0.89719,                0.92178,             0.00050068,             0.00050068,             0.00050068
                     17,                0.89216,                0.97567,                 0.9346,                0.76663,                0.82328,                0.85389,                0.67386,                0.77855,                0.84803,                0.90886,             0.00049486,             0.00049486,             0.00049486
                     18,                0.84762,                0.93656,                0.91878,                0.73024,                0.83897,                0.86976,                0.68622,                0.80607,                0.77192,                 0.9116,             0.00048904,             0.00048904,             0.00048904
                     19,                0.83629,                0.87575,                0.91642,                0.70855,                0.87844,                0.85189,                0.67603,                0.75083,                0.78282,                0.89807,             0.00048322,             0.00048322,             0.00048322
                     20,                0.80728,                0.81306,                 0.9141,                0.75416,                0.83928,                0.82196,                0.65473,                0.73376,                0.80222,                 0.8886,              0.0004774,              0.0004774,              0.0004774
                     21,                0.81879,                0.84506,                0.91358,                0.77515,                0.82578,                0.85306,                0.69138,                0.67544,                0.75042,                0.88892,             0.00047158,             0.00047158,             0.00047158
                     22,                0.84708,                0.81014,                0.90872,                0.72836,                 0.8512,                0.84805,                 0.6824,                0.71058,                0.76318,                0.89178,             0.00046575,             0.00046575,             0.00046575
                     23,                 0.7989,                0.80367,                 0.8914,                0.77009,                0.87296,                0.87545,                0.70417,                0.71617,                0.74613,                0.89107,             0.00045993,             0.00045993,             0.00045993
                     24,                0.79604,                0.77306,                0.90576,                 0.7732,                0.88475,                0.89544,                0.72339,                0.73007,                0.71614,                0.88727,             0.00045411,             0.00045411,             0.00045411
                     25,                0.76226,                  0.741,                0.89522,                0.79343,                0.84464,                0.87812,                0.70632,                0.72254,                0.75351,                0.89453,             0.00044829,             0.00044829,             0.00044829
                     26,                0.79079,                0.75757,                0.89864,                 0.8173,                0.87725,                0.89408,                0.72164,                0.70562,                 0.7481,                 0.8918,             0.00044247,             0.00044247,             0.00044247
                     27,                0.76658,                0.75265,                0.90798,                0.76102,                 0.8764,                 0.8771,                0.70332,                0.72807,                0.71204,                 0.8972,             0.00043665,             0.00043665,             0.00043665
