                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82043,                 2.4354,                 0.9319,                0.85593,                0.90663,                0.93711,                0.83635,                0.47709,                0.59267,                0.81057,             5.9598e-05,             5.9598e-05,             5.9598e-05
                      2,                0.49111,                0.63434,                0.82031,                0.93746,                0.96993,                0.97114,                0.88593,                   0.42,                0.37341,                0.80451,             0.00010746,             0.00010746,             0.00010746
                      3,                0.44897,                0.45225,                0.81492,                0.95516,                0.98299,                0.98213,                0.90795,                0.38775,                0.30618,                0.79869,              0.0001435,              0.0001435,              0.0001435
                      4,                0.42324,                0.37497,                0.81046,                0.95684,                0.98486,                0.98395,                0.91651,                0.37579,                0.27181,                0.79562,             0.00012584,             0.00012584,             0.00012584
                      5,                0.39906,                 0.3283,                0.80549,                0.96669,                0.97367,                 0.9847,                0.92181,                0.36587,                0.25935,                0.79385,             0.00010812,             0.00010812,             0.00010812
                      6,                0.38194,                0.29884,                0.80138,                0.96836,                0.98224,                0.98651,                 0.9326,                0.34244,                0.23577,                0.78961,             9.0395e-05,             9.0395e-05,             9.0395e-05
                      7,                0.36658,                0.27536,                0.79846,                0.96866,                0.98797,                0.98743,                0.93148,                0.34771,                0.22564,                0.78931,             7.2674e-05,             7.2674e-05,             7.2674e-05
                      8,                0.35424,                0.25613,                 0.7966,                0.96572,                0.99054,                 0.9866,                0.93599,                 0.3378,                0.21859,                0.78844,             5.4953e-05,             5.4953e-05,             5.4953e-05
                      9,                0.34388,                0.24104,                0.79375,                0.97304,                0.98923,                0.98867,                0.94113,                0.32878,                0.20436,                0.78653,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     10,                0.33404,                0.22455,                0.79177,                0.97332,                 0.9905,                0.98893,                0.94112,                0.33289,                0.20083,                0.78702,             1.9511e-05,             1.9511e-05,             1.9511e-05
