                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7136,                 6.2073,                 1.1584,                0.00889,                0.16288,                0.00992,                0.00592,                 1.3909,                 5.7279,                 1.0597,              2.352e-05,              2.352e-05,              2.352e-05
                      2,                 1.7156,                  5.433,                 1.1189,                0.04724,                0.53333,                0.08776,                0.06359,                 1.3408,                 4.5679,                 1.0019,             5.2396e-05,             5.2396e-05,             5.2396e-05
                      3,                 1.5494,                 3.6284,                 1.0672,                0.64449,                0.39394,                0.39222,                0.25922,                 1.4337,                 3.3135,                 1.0558,              8.069e-05,              8.069e-05,              8.069e-05
                      4,                 1.4383,                 2.5732,                 1.0349,                0.47396,                0.61191,                0.59378,                0.36673,                 1.4018,                 2.3405,                  1.043,              0.0001084,              0.0001084,              0.0001084
                      5,                 1.3972,                 2.1583,                0.99185,                 0.6655,                0.74077,                0.82803,                0.52981,                 1.3884,                 1.7409,                 1.0263,             0.00013553,             0.00013553,             0.00013553
                      6,                 1.2981,                 1.7571,                 1.0468,                 0.7183,                0.75789,                 0.8293,                0.53771,                 1.3565,                  1.511,                 1.0255,             0.00016208,             0.00016208,             0.00016208
                      7,                 1.3984,                 1.6178,                 1.0068,                0.71216,                0.77686,                0.84379,                0.55507,                 1.3493,                 1.2877,                 1.0307,             0.00018804,             0.00018804,             0.00018804
                      8,                 1.2961,                 1.2626,                0.98597,                0.90264,                0.84378,                0.86723,                0.56151,                 1.3776,                 1.1582,                 1.0451,             0.00021343,             0.00021343,             0.00021343
                      9,                 1.3119,                 1.2664,                0.98834,                 0.7779,                0.83475,                0.87854,                 0.5598,                 1.3569,                 1.1717,                  1.075,             0.00023823,             0.00023823,             0.00023823
                     10,                 1.3112,                 1.1384,                  1.003,                0.84614,                0.87903,                 0.9098,                0.57484,                 1.3706,                  1.073,                  1.072,             0.00026245,             0.00026245,             0.00026245
                     11,                 1.2849,                 1.1418,                 1.0162,                 0.8853,                0.85813,                0.91566,                0.60597,                 1.3466,                 1.0005,                 1.0696,             0.00028609,             0.00028609,             0.00028609
                     12,                 1.2702,                 1.0383,                 1.0094,                0.83665,                0.77454,                0.87422,                0.58715,                 1.2881,                 1.1294,                 1.0971,             0.00030914,             0.00030914,             0.00030914
                     13,                 1.2914,                 1.0575,                 1.0417,                0.88419,                0.74575,                0.84859,                0.56851,                 1.2976,                 1.1149,                 1.1128,             0.00033161,             0.00033161,             0.00033161
                     14,                 1.2489,                 1.0283,                 1.0281,                0.87222,                0.82103,                 0.8874,                0.58707,                 1.3256,                0.97624,                 1.1305,              0.0003535,              0.0003535,              0.0003535
